"","EduYear","Income","The_Number_Of_People"
"1",0,12,1
"2",2,7,1
"3",2,9,1
"4",3,3,1
"5",3,5,1
"6",3,10,1
"7",3,11,1
"8",4,3,1
"9",6,11,1
"10",6,12,2
"11",7,11,1
"12",7,12,1
"13",8,2,1
"14",8,3,1
"15",8,4,1
"16",8,9,3
"17",8,11,1
"18",8,12,1
"19",9,1,1
"20",9,5,2
"21",9,9,1
"22",9,11,1
"23",9,12,3
"24",10,4,1
"25",10,7,1
"26",10,9,1
"27",10,11,4
"28",10,12,7
"29",11,1,1
"30",11,2,1
"31",11,3,2
"32",11,4,1
"33",11,7,1
"34",11,8,2
"35",11,9,4
"36",11,10,2
"37",11,12,7
"38",12,1,7
"39",12,2,6
"40",12,3,6
"41",12,4,2
"42",12,5,3
"43",12,6,2
"44",12,7,1
"45",12,8,5
"46",12,9,16
"47",12,10,10
"48",12,11,24
"49",12,12,95
"50",13,1,3
"51",13,2,2
"52",13,3,5
"53",13,9,2
"54",13,10,1
"55",13,11,2
"56",13,12,35
"57",14,1,1
"58",14,2,2
"59",14,5,3
"60",14,6,1
"61",14,8,3
"62",14,9,9
"63",14,10,4
"64",14,11,9
"65",14,12,50
"66",15,2,1
"67",15,4,3
"68",15,5,1
"69",15,8,1
"70",15,9,6
"71",15,10,4
"72",15,11,6
"73",15,12,24
"74",16,1,3
"75",16,2,1
"76",16,3,1
"77",16,6,1
"78",16,7,2
"79",16,8,4
"80",16,9,6
"81",16,10,4
"82",16,11,6
"83",16,12,109
"84",17,1,1
"85",17,5,1
"86",17,10,1
"87",17,11,2
"88",17,12,22
"89",18,3,1
"90",18,6,1
"91",18,8,1
"92",18,12,26
"93",19,8,1
"94",19,9,1
"95",19,12,11
"96",20,3,1
"97",20,12,16
