"","race","income","the_number_of_people"
"1","White","LT $1000",10
"2","White","$1000 TO 2999",9
"3","White","$3000 TO 3999",10
"4","White","$4000 TO 4999",6
"5","White","$5000 TO 5999",6
"6","White","$6000 TO 6999",3
"7","White","$7000 TO 7999",4
"8","White","$8000 TO 9999",8
"9","White","$10000 - 14999",40
"10","White","$15000 - 19999",17
"11","White","$20000 - 24999",41
"12","White","$25000 OR MORE",287
"13","Black","LT $1000",5
"14","Black","$1000 TO 2999",4
"15","Black","$3000 TO 3999",5
"16","Black","$4000 TO 4999",0
"17","Black","$5000 TO 5999",3
"18","Black","$6000 TO 6999",0
"19","Black","$7000 TO 7999",1
"20","Black","$8000 TO 9999",4
"21","Black","$10000 - 14999",8
"22","Black","$15000 - 19999",5
"23","Black","$20000 - 24999",8
"24","Black","$25000 OR MORE",69
"25","Others","LT $1000",2
"26","Others","$1000 TO 2999",1
"27","Others","$3000 TO 3999",4
"28","Others","$4000 TO 4999",2
"29","Others","$5000 TO 5999",2
"30","Others","$6000 TO 6999",2
"31","Others","$7000 TO 7999",1
"32","Others","$8000 TO 9999",5
"33","Others","$10000 - 14999",2
"34","Others","$15000 - 19999",5
"35","Others","$20000 - 24999",9
"36","Others","$25000 OR MORE",54
