"","Sex","Income","The_Number_Of_People","Percentage"
"1","Male","LT $1000",8,47.0588235294118
"2","Male","$1000 TO 2999",1,7.14285714285714
"3","Male","$3000 TO 3999",5,26.3157894736842
"4","Male","$4000 TO 4999",4,50
"5","Male","$5000 TO 5999",5,45.4545454545455
"6","Male","$6000 TO 6999",0,0
"7","Male","$7000 TO 7999",2,33.3333333333333
"8","Male","$8000 TO 9999",8,47.0588235294118
"9","Male","$10000 - 14999",15,30
"10","Male","$15000 - 19999",6,22.2222222222222
"11","Male","$20000 - 24999",24,41.3793103448276
"12","Male","$25000 OR MORE",195,47.5609756097561
"13","Female","LT $1000",9,52.9411764705882
"14","Female","$1000 TO 2999",13,92.8571428571429
"15","Female","$3000 TO 3999",14,73.6842105263158
"16","Female","$4000 TO 4999",4,50
"17","Female","$5000 TO 5999",6,54.5454545454545
"18","Female","$6000 TO 6999",5,100
"19","Female","$7000 TO 7999",4,66.6666666666667
"20","Female","$8000 TO 9999",9,52.9411764705882
"21","Female","$10000 - 14999",35,70
"22","Female","$15000 - 19999",21,77.7777777777778
"23","Female","$20000 - 24999",34,58.6206896551724
"24","Female","$25000 OR MORE",215,52.4390243902439
